iter	Passed	Remaining
330	653	1320
331	655	1318
332	656	1315
333	658	1313
334	659	1309
335	660	1305
336	662	1303
337	664	1302
338	665	1298
339	666	1294
340	667	1290
341	669	1287
342	670	1284
343	672	1281
344	674	1279
345	675	1275
346	677	1274
347	678	1271
348	680	1270
349	682	1268
350	684	1266
351	686	1264
352	688	1262
353	690	1259
354	691	1256
355	692	1252
356	695	1252
357	697	1250
358	698	1247
359	699	1244
360	702	1242
361	704	1241
362	705	1237
363	706	1234
364	707	1230
365	708	1227
366	709	1224
367	711	1222
368	713	1220
369	715	1218
370	717	1215
371	718	1213
372	720	1210
373	721	1207
374	722	1203
375	723	1200
376	724	1197
377	726	1195
378	727	1192
379	729	1190
380	730	1186
381	731	1183
382	732	1180
383	734	1178
384	736	1176
385	737	1173
386	738	1170
387	739	1167
388	741	1164
389	743	1162
390	744	1159
391	745	1156
392	746	1153
393	748	1150
394	750	1148
395	751	1146
396	752	1143
397	754	1141
398	756	1139
399	758	1138
400	760	1135
401	761	1132
402	763	1130
403	765	1128
404	767	1127
405	768	1124
406	769	1121
407	770	1118
408	773	1117
409	775	1115
410	776	1112
411	777	1109
412	778	1106
413	779	1103
414	780	1100
415	783	1099
416	784	1097
417	785	1094
418	787	1091
419	789	1090
420	791	1088
421	792	1085
422	793	1082
423	794	1079
424	796	1078
425	799	1076
426	800	1074
427	801	1071
428	802	1068
429	805	1067
430	806	1065
431	808	1063
432	809	1060
433	810	1057
434	812	1055
435	813	1052
436	815	1050
437	816	1047
438	817	1044
439	818	1042
440	820	1039
441	822	1038
442	823	1035
443	824	1032
444	825	1029
445	826	1026
446	828	1025
447	829	1022
448	831	1019
449	832	1017
450	833	1014
451	834	1012
452	836	1010
453	838	1008
454	840	1007
455	842	1004
456	843	1002
457	845	1000
458	847	998
459	848	995
460	849	993
461	850	990
462	851	988
463	854	986
464	855	983
465	856	981
466	857	978
467	859	976
468	861	975
469	862	973
470	864	970
471	865	967
472	867	966
473	869	964
474	870	962
475	872	960
476	874	958
477	877	958
478	878	955
479	880	954
480	882	951
481	884	950
482	886	948
483	887	946
484	888	943
485	890	941
486	892	940
487	893	937
488	894	935
489	895	932
490	896	929
491	898	927
492	899	925
493	901	923
494	903	922
495	906	921
496	909	920
497	911	918
498	913	916
499	914	914
500	917	913
501	918	911
502	920	909
503	923	908
504	925	907
505	927	905
506	928	902
507	930	901
508	932	899
509	934	897
510	935	895
511	937	893
512	939	892
513	941	890
514	943	888
515	945	886
516	947	885
517	949	883
518	951	881
519	952	879
520	955	878
521	956	876
522	958	874
523	960	872
524	962	871
525	964	869
526	966	867
527	968	865
528	970	864
529	972	862
530	973	860
531	975	858
532	978	857
533	980	855
534	981	853
535	982	850
536	983	848
537	985	846
538	987	844
539	989	842
540	990	840
541	991	837
542	992	835
543	995	834
544	997	832
545	999	831
546	1001	829
547	1003	827
548	1005	826
549	1007	824
550	1008	822
551	1010	820
552	1012	818
553	1014	816
554	1015	814
555	1018	813
556	1020	811
557	1021	809
558	1023	807
559	1024	805
560	1026	803
561	1027	800
562	1028	798
563	1029	795
564	1030	793
565	1031	790
566	1032	788
567	1034	786
568	1035	784
569	1036	781
570	1037	779
571	1038	777
572	1040	775
573	1041	772
574	1042	770
575	1043	768
576	1044	765
577	1045	763
578	1046	761
579	1048	759
580	1049	756
581	1050	754
582	1051	752
583	1052	749
584	1053	747
585	1055	745
586	1056	743
587	1057	741
588	1058	738
589	1059	736
590	1060	734
591	1062	732
592	1064	730
593	1065	728
594	1066	725
595	1067	723
596	1068	721
597	1069	718
598	1070	716
599	1072	714
600	1073	712
601	1074	710
602	1075	707
603	1076	705
604	1077	703
605	1079	701
606	1080	699
607	1081	697
608	1082	695
609	1083	692
610	1084	690
611	1085	688
612	1087	686
613	1088	684
614	1089	682
615	1091	680
616	1092	677
617	1093	675
618	1095	673
619	1096	672
620	1097	670
621	1098	667
622	1099	665
623	1101	663
624	1103	662
625	1104	660
626	1105	657
627	1106	655
628	1107	653
629	1109	651
630	1110	649
631	1111	647
632	1112	645
633	1113	643
634	1115	640
635	1116	638
636	1117	636
637	1119	635
638	1120	632
639	1121	630
640	1122	628
641	1123	626
642	1124	624
643	1125	622
644	1126	620
645	1127	618
646	1129	615
647	1130	613
648	1131	611
649	1132	609
650	1135	608
651	1136	606
652	1137	604
653	1138	602
654	1139	600
655	1140	598
656	1142	596
657	1143	594
658	1144	592
659	1145	590
660	1146	588
661	1148	586
662	1150	584
663	1151	582
664	1152	580
665	1153	578
666	1154	576
667	1155	574
668	1157	572
669	1159	570
670	1160	568
671	1161	566
672	1162	564
673	1163	562
674	1164	560
675	1166	558
676	1167	556
677	1168	554
678	1169	552
679	1170	550
680	1171	548
681	1173	546
682	1174	545
683	1175	543
684	1176	540
685	1177	538
686	1178	536
687	1179	534
688	1181	533
689	1182	531
690	1183	529
691	1184	527
692	1185	525
693	1187	523
694	1189	521
695	1190	519
696	1191	517
697	1192	515
698	1193	513
699	1194	512
700	1196	510
701	1198	508
702	1199	506
703	1200	504
704	1201	502
705	1202	500
706	1204	499
707	1205	497
708	1206	495
709	1207	493
710	1208	491
711	1209	489
712	1210	487
713	1212	485
714	1213	483
715	1214	481
716	1215	479
717	1216	477
718	1217	475
719	1219	474
720	1220	472
721	1221	470
722	1223	468
723	1224	466
724	1225	464
725	1226	462
726	1228	461
727	1229	459
728	1230	457
729	1231	455
730	1232	453
731	1233	451
732	1235	449
733	1236	448
734	1237	446
735	1238	444
736	1239	442
737	1240	440
738	1242	438
739	1244	437
740	1245	435
741	1246	433
742	1247	431
743	1248	429
744	1249	427
745	1251	426
746	1252	424
747	1253	422
748	1254	420
749	1255	418
750	1256	416
751	1258	414
752	1259	413
753	1260	411
754	1261	409
755	1262	407
756	1264	405
757	1265	404
758	1266	402
759	1267	400
760	1268	398
761	1269	396
762	1271	394
763	1272	392
764	1273	391
765	1274	389
766	1275	387
767	1276	385
768	1277	383
769	1278	382
770	1280	380
771	1282	378
772	1283	376
773	1284	375
774	1285	373
775	1286	371
776	1287	369
777	1289	367
778	1290	366
779	1291	364
780	1292	362
781	1293	360
782	1294	358
783	1296	357
784	1297	355
785	1299	353
786	1300	351
787	1301	350
788	1302	348
789	1303	346
790	1304	344
791	1306	343
792	1307	341
793	1308	339
794	1309	337
795	1310	335
796	1312	334
797	1313	332
798	1314	330
799	1315	328
800	1316	327
801	1317	325
802	1318	323
803	1320	321
804	1322	320
805	1323	318
806	1324	316
807	1325	314
808	1326	313
809	1327	311
810	1329	309
811	1330	308
812	1331	306
813	1332	304
814	1333	302
815	1335	301
816	1336	299
817	1339	297
818	1340	296
819	1341	294
820	1342	292
821	1343	290
822	1345	289
823	1346	287
824	1347	285
825	1348	283
826	1349	282
827	1350	280
828	1351	278
829	1353	277
830	1354	275
831	1355	273
832	1356	271
833	1357	270
834	1358	268
835	1360	266
836	1361	265
837	1362	263
838	1363	261
839	1364	259
840	1365	258
841	1367	256
842	1368	254
843	1369	253
844	1370	251
845	1371	249
846	1372	247
847	1373	246
848	1375	244
849	1377	243
850	1378	241
851	1379	239
852	1380	237
853	1381	236
854	1382	234
855	1383	232
856	1385	231
857	1386	229
858	1387	227
859	1388	226
860	1390	224
861	1391	222
862	1392	221
863	1393	219
864	1394	217
865	1395	215
866	1396	214
867	1397	212
868	1400	211
869	1401	209
870	1402	207
871	1403	205
872	1404	204
873	1405	202
874	1407	201
875	1408	199
876	1409	197
877	1410	195
878	1411	194
879	1412	192
880	1414	191
881	1416	189
882	1417	187
883	1418	186
884	1419	184
885	1420	182
886	1421	181
887	1422	179
888	1424	177
889	1426	176
890	1427	174
891	1428	172
892	1429	171
893	1431	169
894	1432	168
895	1433	166
896	1434	164
897	1435	163
898	1437	161
899	1438	159
900	1439	158
901	1440	156
902	1441	154
903	1442	153
904	1443	151
905	1445	149
906	1446	148
907	1448	146
908	1449	145
909	1450	143
910	1451	141
911	1453	140
912	1454	138
913	1455	136
914	1456	135
915	1457	133
916	1458	132
917	1459	130
918	1461	128
919	1462	127
920	1464	125
921	1465	123
922	1466	122
923	1467	120
924	1468	119
925	1470	117
926	1471	115
927	1472	114
928	1473	112
929	1474	110
930	1475	109
931	1477	107
932	1478	106
933	1479	104
934	1480	102
935	1481	101
936	1482	99
937	1484	98
938	1485	96
939	1487	94
940	1488	93
941	1489	91
942	1490	90
943	1491	88
944	1492	86
945	1493	85
946	1495	83
947	1496	82
948	1497	80
949	1498	78
950	1499	77
951	1501	75
952	1502	74
953	1503	72
954	1504	70
955	1505	69
956	1506	67
957	1508	66
958	1510	64
959	1511	62
960	1512	61
961	1513	59
962	1514	58
963	1516	56
964	1517	55
965	1518	53
966	1519	51
967	1520	50
968	1521	48
969	1522	47
970	1525	45
971	1526	43
972	1527	42
973	1528	40
974	1529	39
975	1530	37
976	1531	36
977	1532	34
978	1534	32
979	1535	31
980	1536	29
981	1537	28
982	1539	26
983	1541	25
984	1542	23
985	1543	21
986	1544	20
987	1545	18
988	1546	17
989	1548	15
990	1549	14
991	1550	12
992	1551	10
993	1552	9
994	1554	7
995	1555	6
996	1557	4
997	1558	3
998	1559	1
999	1560	0
