iter	Logloss
0	0.6871315693
1	0.6803361826
2	0.6735168367
3	0.6659453501
4	0.659372304
5	0.6525063213
6	0.6466347648
7	0.6405435471
8	0.6336250682
9	0.6264546039
10	0.6199548513
11	0.6137476369
12	0.608955887
13	0.6029381555
14	0.5977254065
15	0.5928913377
16	0.5880965006
17	0.5824848384
18	0.5769000219
19	0.5717481488
20	0.5682627276
21	0.563956616
22	0.5593275944
23	0.5542900058
24	0.5495774408
25	0.5460398562
26	0.5411226354
27	0.53620916
28	0.531854689
29	0.5278532638
30	0.5231317027
31	0.5196911832
32	0.5159703295
33	0.5126486608
34	0.5082283628
35	0.504137406
36	0.4992801234
37	0.4955461785
38	0.491885839
39	0.4883373989
40	0.4847346616
41	0.4814698896
42	0.4780596707
43	0.4753128475
44	0.471991188
45	0.4692750701
46	0.4662083433
47	0.4628657391
48	0.4604896828
49	0.4584354413
50	0.4559199683
51	0.4533247167
52	0.4505080302
53	0.4479534395
54	0.4453513039
55	0.443212996
56	0.4402493588
57	0.4373945031
58	0.4347331804
59	0.4323180297
60	0.4297677841
61	0.4274215219
62	0.4253270844
63	0.4233374361
64	0.4213352352
65	0.4187236677
66	0.4170560219
67	0.415145883
68	0.4132725584
69	0.4110437664
70	0.4085900609
71	0.4069562413
72	0.4049468661
73	0.4030550886
74	0.4014671084
75	0.4001930852
76	0.3986107732
77	0.3967187124
78	0.3942259823
79	0.3924593189
80	0.3907991253
81	0.38897399
82	0.3869551379
83	0.3853363604
84	0.3835694342
85	0.3814417149
86	0.3798068298
87	0.3782392317
88	0.3767886828
89	0.3749927749
90	0.3737668197
91	0.3719406354
92	0.3702999515
93	0.3690998452
94	0.3674331735
95	0.3659305511
96	0.3647669572
97	0.3632597772
98	0.3620603096
99	0.3603597904
100	0.3592949578
101	0.3577823193
102	0.3563761118
103	0.3551634621
104	0.3540043796
105	0.3534913582
106	0.3520438049
107	0.3502823242
108	0.3496293559
109	0.3484821482
110	0.3474025496
111	0.3465041594
112	0.3449555924
113	0.3441198157
114	0.3424529815
115	0.3410162616
116	0.3396918398
117	0.3384658003
118	0.3373161972
119	0.3356335122
120	0.3343899679
121	0.3332280159
122	0.3322535416
123	0.3309493451
124	0.3301221541
125	0.3292525811
126	0.3283219725
127	0.3267809242
128	0.324868653
129	0.3231917396
130	0.3225562433
131	0.321656152
132	0.3208358267
133	0.3196420123
134	0.3187787513
135	0.3173229113
136	0.3162452787
137	0.3151158183
138	0.3138957076
139	0.3130202188
140	0.3121406299
141	0.3113450678
142	0.3103057529
143	0.3093229835
144	0.3084497593
145	0.3078188965
146	0.3067013726
147	0.3058541313
148	0.3052991652
149	0.3043591859
150	0.3034748709
151	0.302269299
152	0.3013074187
153	0.3004634375
154	0.2991146389
155	0.2979686337
156	0.2973310867
157	0.2964995559
158	0.2957581155
159	0.2949658992
160	0.2940912145
161	0.2933693856
162	0.2924568631
163	0.2914229127
164	0.2905346336
165	0.2895881857
166	0.2886099884
167	0.2879279215
168	0.2873785333
169	0.2863195572
170	0.2858554729
171	0.2848086932
172	0.2840745943
173	0.2834575398
174	0.2830414283
175	0.2823015471
176	0.2817457087
177	0.2809296905
178	0.2799400838
179	0.2785491173
180	0.2776952999
181	0.2768571641
182	0.2759233979
183	0.2752894273
184	0.2746212373
